source_id,title,organization,url,country,topic_tags,source_tier,document_type,publication_date,access_date,last_checked_date,license_status,trainable_for_model_flag,retrieval_only_flag,notes
SRC001,Abnormal Uterine Bleeding,ACOG,https://www.acog.org/womens-health/faqs/abnormal-uterine-bleeding,US,abnormal_bleeding;heavy_bleeding;irregular_periods;postcoital_bleeding,tier1,faq,,2026-03-14,2026-03-14,retrieval_only,false,true,Official patient FAQ; use for retrieval and guideline grounding.
SRC002,Heavy Menstrual Bleeding,ACOG,https://www.acog.org/womens-health/faqs/heavy-menstrual-bleeding,US,heavy_bleeding;anemia;fibroids;adenomyosis,tier1,faq,,2026-03-14,2026-03-14,retrieval_only,false,true,Official patient FAQ; includes severity cues and common causes.
SRC003,Postpartum Birth Control,ACOG,https://www.acog.org/womens-health/faqs/postpartum-birth-control,US,postpartum;breastfeeding;contraception;ovulation,tier1,faq,,2026-03-14,2026-03-14,retrieval_only,false,true,Useful for postpartum fertility return and contraception counseling boundaries.
SRC004,Perimenopausal Bleeding and Bleeding After Menopause,ACOG,https://www.acog.org/womens-health/faqs/perimenopausal-bleeding-and-bleeding-after-menopause,US,perimenopause;postmenopause;abnormal_bleeding,tier1,faq,,2026-03-14,2026-03-14,retrieval_only,false,true,Core source for menopause-related bleeding changes and escalation.
SRC005,Your First Period,ACOG,https://www.acog.org/womens-health/faqs/your-first-period,US,menarche;adolescent_cycles;puberty,tier1,faq,,2026-03-14,2026-03-14,retrieval_only,false,true,Use for adolescent cycle expectations.
SRC006,Your Menstrual Cycle,Office on Women's Health,https://womenshealth.gov/menstrual-cycle/your-menstrual-cycle,US,cycle_basics;ovulation;fertility;bleeding_norms,tier1,government_patient_education,2024-12-01,2026-03-14,2026-03-14,retrieval_only,false,true,"High-value source for menstrual timing, ovulation, and bleeding amount."
SRC007,Period Problems,Office on Women's Health,https://womenshealth.gov/menstrual-cycle/period-problems,US,irregular_periods;amenorrhea;heavy_bleeding;stress;weight,tier1,government_patient_education,2025-10-01,2026-03-14,2026-03-14,retrieval_only,false,true,"Includes irregular periods, amenorrhea, and when to call a doctor."
SRC008,Ovulation Calculator,Office on Women's Health,https://womenshealth.gov/ovulation-calculator,US,ovulation;fertile_window;fertility,tier1,government_tool,2020-12-07,2026-03-14,2026-03-14,retrieval_only,false,true,Useful for fertile-window assumptions; avoid overclaiming precision.
SRC009,Emergency Contraception,Office on Women's Health,https://womenshealth.gov/a-z-topics/emergency-contraception,US,emergency_contraception;pregnancy_prevention;cycle_change,tier1,government_patient_education,,2026-03-14,2026-03-14,retrieval_only,false,true,Use for cycle disruption after emergency contraception and timing.
SRC010,Menopause Basics,Office on Women's Health,https://womenshealth.gov/article/menopause-basics,US,menopause;perimenopause;symptoms,tier1,government_patient_education,,2026-03-14,2026-03-14,retrieval_only,false,true,Use for menopause age range and symptom framing.
